Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
CAGL0E00451g	137.6623323037416	194.28405296616856	134.6321701894446	179.9595003765172	155.32659145307053	137.65152036035113	157.72828829548453	98.01425819843026	116.45322491954254
CAGL0E00473g	60.76647910955352	54.32538454262069	45.768135806011124	72.39147539417829	52.47812119030323	56.31408030811821	77.85006514287515	58.31228019400281	47.988522792052706
CAGL0E00495g	72.2070816579571	67.14720515978898	71.17868254331879	42.80590057499681	75.66361448653402	71.47556346799618	47.27168284226688	63.50060686503595	60.52715560455429
CAGL0E00517g	129.31631896925046	70.23680048922712	36.29384017737825	90.4456647523402	47.83021344327329	33.272312587938906	77.07000436990046	30.904380605719094	35.70550588452702
CAGL0E00539g	23.350082250430287	23.995857058636247	34.447567183080565	20.558480140100507	24.536629269204603	20.3689226646385	27.302127054114532	4.624378119833879	37.064306221504125
CAGL0E00561g	58.60964420288727	71.88458466492746	142.84322640092643	79.20547589387166	121.60223756764395	116.49917759322652	91.42312259263494	17.82077421789641	195.3174583389462
CAGL0E00583g	31.977421877095292	90.06170385312187	88.1352424120002	44.378362228772204	95.55233600870866	65.53078739618992	53.74618725795689	32.93459539003641	82.16033324672439
CAGL0E00605g	21.662124497387136	17.19874733387233	27.208233600176467	17.413556832549723	22.861220662717063	24.83902560235328	31.51445522817792	17.256825666697157	23.503209789098985
CAGL0E00627g	2.53193662956473	0.926878598831443	4.032648908597584	2.3878121409181894	2.161817556758115	1.7972578821739853	2.3401823189241027	0.7895279716789548	3.76697123122365
CAGL0E00649g	92.08747297157649	166.0657489573002	146.53577238952184	95.57072495723777	175.48554016983994	141.93728915630447	97.11756623535025	145.61151591964725	151.5264177759713
