	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
1093	CAGL0E04180g	613	1952	1993	1151	1716	1962	808	657	5830
1094	CAGL0E04224g	412	598	850	1140	609	654	1038	53	2227
1095	CAGL0E04246g	256	810	671	545	540	723	414	203	1795
1096	CAGL0E04268g	478	985	1143	1083	886	1330	715	344	4076
1097	CAGL0E04290g	561	905	1244	922	1173	1737	818	1089	4802
1098	CAGL0E04312g	3253	11425	11931	6223	10633	14800	4248	4250	47152
1099	CAGL0E04334g	2784	17605	24148	4611	20897	17309	4111	2399	90110
1100	CAGL0E04356g	3519	10356	6858	10987	7527	10590	6873	4033	26448
1101	CAGL0E04378g	314	293	695	480	578	935	517	557	2655
1102	CAGL0E04400g	264	913	735	533	592	741	367	181	2043
1103	CAGL0E04422g	878	2143	1839	1042	1437	2208	800	1745	7177
1104	CAGL0E04444g	688	1565	1543	1080	1191	1126	752	243	4721
1105	CAGL0E04466g	2	4	10	9	2	8	5	1	26
1106	CAGL0E04488g	844	1822	1796	1427	1829	2165	1048	1190	8304
1107	CAGL0E04510g	85	370	398	148	271	441	186	33	1309
1108	CAGL0E04532g	706	1971	1516	1007	1249	1296	797	458	4038
1109	CAGL0E04548g	1540	9559	8698	5010	7500	10239	3781	4115	30432
1110	CAGL0E04554g	1083	824	1243	931	1471	1818	662	68	4591
1111	CAGL0E04576g	996	2025	1810	1531	1781	2114	1049	670	6547
1112	CAGL0E04598g	112	39	173	141	129	217	112	115	533
1113	CAGL0E04620g	8209	8143	12201	13841	9756	12392	11003	1734	47604
1114	CAGL0E04642g	235	676	779	400	756	971	360	288	2841
1115	CAGL0E04664g	813	3233	2398	1559	1978	2689	1233	941	6464
1116	CAGL0E04686g	636	1620	1855	882	1496	2036	858	1083	7977
1117	CAGL0E04708g	122	515	518	286	421	579	152	181	1861
1118	CAGL0E04752g	4402	4764	10956	6640	9126	9752	5914	1822	41825
1119	CAGL0E04774g	617	1387	2719	1411	2643	2762	1065	1025	10326
1120	CAGL0E04796g	1677	8018	5708	3666	5627	8171	2076	7086	19540
1121	CAGL0E04818g	96	175	174	155	172	194	105	35	681
1122	CAGL0E04840g	16	14	28	20	34	18	16	1	97
1123	CAGL0E04862g	282	348	835	435	673	708	456	93	4470
1124	CAGL0E04884g	760	2989	2894	1119	2490	2897	826	648	9724
1125	CAGL0E04906g	1320	4515	4166	3645	3904	6067	2085	3672	15541
1126	CAGL0E04928g	982	1907	2258	1523	1834	2623	995	1815	9401
1127	CAGL0E04950g	319	1038	822	657	708	967	410	216	3450
1128	CAGL0E04972g	500	1182	961	796	704	991	554	488	3132
1129	CAGL0E04994g	10294	5741	13407	8537	10043	7719	9185	1651	47695
1130	CAGL0E05016g	3212	6509	4731	4889	4618	5143	3541	2033	13749
1131	CAGL0E05038g	897	1566	1349	1402	1407	1622	927	456	4925
1132	CAGL0E05060g	231	692	766	376	688	732	432	75	2494
1133	CAGL0E05082g	383	1604	1505	846	1317	1693	559	260	4313
1134	CAGL0E05104g	9	22	27	22	22	31	10	5	156
1135	CAGL0E05126g	116	349	301	191	281	333	140	213	1120
1136	CAGL0E05148g	569	5312	9080	2541	8503	9683	2304	699	35070
1137	CAGL0E05170g	1950	17218	13461	9791	10482	17837	8222	4132	46702
1138	CAGL0E05192g	99	309	382	325	291	458	256	419	1318
1139	CAGL0E05214g	574	2751	2199	1187	1626	2065	922	732	6303
1140	CAGL0E05236g	175	515	503	370	496	622	280	401	1979
1141	CAGL0E05258g	66	225	261	138	236	234	116	119	882
1142	CAGL0E05280g	216	780	780	973	471	799	838	173	2358
1143	CAGL0E05302g	460	2749	1783	911	1792	2282	618	721	6499
1144	CAGL0E05324g	1564	4757	4175	3873	3778	5000	2467	2712	14086
1145	CAGL0E05346g	3540	28960	16794	10103	17291	19756	6559	5504	54066
1146	CAGL0E05368g	241	257	312	346	341	314	270	27	1147
1147	CAGL0E05390g	6191	5982	7220	10321	7408	8078	7309	2574	30361
1148	CAGL0E05412g	1308	3086	3251	2640	3262	3954	1792	1621	12551
1149	CAGL0E05434g	250	373	392	694	352	436	573	105	1128
1150	CAGL0E05456g	450	545	414	2745	1262	799	1644	353	2978
1151	CAGL0E05478g	1432	1206	890	2090	1177	848	1310	412	3438
1152	CAGL0E05500g	2505	918	1542	2342	1477	1129	1944	428	6325
1153	CAGL0E05522g	508	230	233	757	314	260	492	219	923
1154	CAGL0E05566g	990	370	1142	1118	1126	1353	802	735	6064
1155	CAGL0E05588g	147	820	1036	476	795	1049	310	364	3046
1156	CAGL0E05610g	7223	14874	20337	28670	20196	28313	22165	7927	115094
1157	CAGL0E05632g	133	190	775	159	466	327	316	92	2475
1158	CAGL0E05654g	589	2122	2062	1734	1791	2018	1793	175	8522
1159	CAGL0E05676g	2476	2711	3289	5780	3708	4204	4486	2213	13199
1160	CAGL0E05698g	226	164	280	428	353	286	214	224	1322
1161	CAGL0E05720g	104	173	155	173	161	168	123	96	642
1162	CAGL0E05742g	1527	2928	2713	2414	2434	2771	1680	992	7828
1163	CAGL0E05764g	566	605	535	940	639	494	635	155	2054
1164	CAGL0E05786g	241	684	897	380	884	842	444	375	3169
1165	CAGL0E05808g	473	1446	1185	866	1174	1484	728	597	3739
1166	CAGL0E05830g	1254	3049	2353	1988	2202	2617	1270	1841	8391
1167	CAGL0E05874g	2094	1344	1684	2940	1713	1732	2306	647	5948
1168	CAGL0E05896g	5856	21864	14308	10433	12677	14957	6904	7210	43615
1169	CAGL0E05918g	462	2455	2076	646	1773	1908	543	798	6135
1170	CAGL0E05940g	1951	6172	6985	3242	5833	6385	2494	1513	23960
1171	CAGL0E05962g	1	1	10	1	1	2	1	1	2
1172	CAGL0E05984g	23	342	930	79	443	1076	51	29	4291
1173	CAGL0E06006g	524	2221	2534	1439	1647	3209	1092	772	9453
1174	CAGL0E06028g	704	1027	1189	1060	1061	1108	956	292	3591
1175	CAGL0E06050g	626	1293	1322	1167	1098	1272	1055	357	3427
1176	CAGL0E06072g	658	1769	1614	1536	1396	1503	1534	247	5255
1177	CAGL0E06094g	1	1	13	1	5	8	3	1	35
1178	CAGL0E06116g	971	1840	1588	2397	1952	2716	1656	943	6424
1179	CAGL0E06138g	9914	32264	39212	15944	31755	45767	12642	11423	130783
1180	CAGL0E06160g	571	850	996	967	805	1090	813	896	3946
1181	CAGL0E06182g	40	136	107	30	54	76	46	42	264
1182	CAGL0E06204g	1401	3461	4505	2802	3980	5231	2398	1305	16169
1183	CAGL0E06226g	1839	7962	8505	5848	7054	7949	4632	1010	34983
1184	CAGL0E06248g	133	431	315	275	260	462	192	221	1052
1185	CAGL0E06270g	3482	6683	6315	4311	5667	6527	2939	3181	19292
1186	CAGL0E06292g	61	57	61	29	27	51	17	65	258
1187	CAGL0E06314g	244	389	314	374	450	520	351	228	1215
1188	CAGL0E06336g	2287	3926	3500	3709	3374	4624	3096	4997	11380
1189	CAGL0E06358g	50852	81450	98221	99995	83221	96052	86767	10667	276091
1190	CAGL0E06380g	202	1498	1375	708	1040	2201	582	1273	4498
1191	CAGL0E06402g	31	62	44	25	47	46	5	9	144
1192	CAGL0E06424g	7905	38016	28408	38927	28595	38283	27324	9008	105348
1193	CAGL0E06446g	317	855	951	739	864	1033	591	279	2701
1194	CAGL0E06468g	255	886	788	496	696	807	488	253	2796
1195	CAGL0E06490g	2154	8415	7207	4944	7070	8079	3605	4450	29342
1196	CAGL0E06512g	1297	7335	6087	4453	5296	7238	3269	1281	20816
1197	CAGL0E06534g	1243	1431	1072	1826	1229	1148	1398	579	3253
1198	CAGL0E06556g	892	2123	1976	1789	1838	2559	1220	1577	6378
1199	CAGL0E06600g	142	453	552	248	457	453	392	48	1548
1200	CAGL0E06644g	538	1859	1295	931	1815	1818	495	1026	6740
1201	CAGL0E06666g	873	3939	4068	5031	5327	9083	2848	3226	21289
1202	CAGL0E06688g	698	538	572	872	637	930	448	310	2556
1203	CAGL0F00187g	612	2178	1635	749	1187	1596	492	348	4036
1204	CAGL0F00209g	28	62	47	34	53	99	3	1	160
1205	CAGL0F00231g	6106	13322	12722	8601	11204	11586	7978	3661	43152
1206	CAGL0F00253g	2268	2974	5996	4806	5980	6665	4068	394	33633
1207	CAGL0F00275g	934	3376	4754	1803	3582	4780	1496	709	19040
1208	CAGL0F00297g	921	1934	1946	1398	1608	1696	1281	450	6162
1209	CAGL0F00319g	441	2393	1908	1279	1563	1948	1175	325	5163
1210	CAGL0F00341g	113	925	509	596	520	703	295	267	1734
1211	CAGL0F00363g	3509	6717	5540	2822	4539	4922	2143	1517	15096
1212	CAGL0F00407g	3742	2186	1995	5734	2590	2081	4548	477	8896
1213	CAGL0F00429g	849	1798	1384	1490	1389	1369	894	903	4855
1214	CAGL0F00451g	445	1142	977	602	762	1032	655	403	2836
1215	CAGL0F00473g	68	57	131	108	138	127	100	121	488
1216	CAGL0F00495g	1345	2777	3589	2877	3328	4487	2271	1767	13339
1217	CAGL0F00517g	2083	8704	7108	4680	6517	8415	4090	4333	25593
1218	CAGL0F00539g	2114	4825	4446	3404	3981	4671	2477	2826	14953
1219	CAGL0F00561g	965	702	626	1103	686	582	872	182	2188
1220	CAGL0F00583g	1087	2952	2651	1814	2235	2682	1059	1824	9500
1221	CAGL0F00605g	28121	75447	88194	58770	83604	103095	40333	46923	334053
1222	CAGL0F00627g	1115	1662	1853	1515	1461	1611	1132	893	6312
1223	CAGL0F00649g	133	317	309	110	290	362	64	29	1043
1224	CAGL0F00671g	1420	4497	5078	3088	4271	5043	2422	892	17344
1225	CAGL0F00693g	4083	12591	10181	8161	10636	14398	5599	10591	41109
1226	CAGL0F00715g	463	850	737	422	432	519	358	252	1171
1227	CAGL0F00737g	507	1077	1239	954	1001	1213	730	523	4433
1228	CAGL0F00759g	2792	8867	6411	6034	6766	9193	4340	4486	20853
1229	CAGL0F00803g	297	798	1188	455	928	846	547	220	2844
1230	CAGL0F00825g	1613	5660	4957	2631	4448	6254	1768	3883	18450
1231	CAGL0F00869g	243	1767	1194	758	1251	1996	514	537	3815
1232	CAGL0F00891g	3	35	13	17	15	27	7	21	69
1233	CAGL0F00913g	605	440	921	869	784	931	782	257	3860
1234	CAGL0F00935g	196	540	685	226	440	634	228	104	1873
1235	CAGL0F00957g	970	2935	2722	1898	2269	3129	1387	353	10285
1236	CAGL0F00979g	93	288	222	216	191	242	175	20	895
1237	CAGL0F01001g	434	869	899	621	714	685	596	150	3125
1238	CAGL0F01023g	1008	725	814	1299	866	766	1181	221	2875
1239	CAGL0F01045g	26	18	71	14	34	28	84	89	320
1240	CAGL0F01089g	517	1593	1332	987	1291	1206	518	659	3917
1241	CAGL0F01111g	270	792	849	538	765	987	394	357	3387
1242	CAGL0F01133g	95	90	125	106	143	208	116	324	858
1243	CAGL0F01155g	1028	1919	1930	1611	1592	1960	974	865	7186
1244	CAGL0F01177g	998	1292	938	2094	1159	1161	1244	738	4267
1245	CAGL0F01199g	2122	7998	7016	3858	6048	6590	3030	1423	15943
1246	CAGL0F01221g	2225	9088	6051	4847	6576	9367	2763	7759	22895
1247	CAGL0F01243g	1152	746	2465	1080	2314	2551	1069	1660	11533
1248	CAGL0F01265g	862	1230	3110	1776	2240	2269	1920	557	10649
1249	CAGL0F01287g	3628	4423	3411	7777	3572	4475	4786	1458	13707
1250	CAGL0F01331g	335	2166	1383	786	1302	1871	476	666	3984
1251	CAGL0F01397g	1288	5819	6326	2302	5196	6489	1677	2269	21630
1252	CAGL0F01419g	65	149	340	95	392	252	151	13	1396
1253	CAGL0F01463g	109632	29297	33291	150255	26942	33568	87665	47485	109575
1254	CAGL0F01485g	282	825	893	494	1001	1030	210	232	4153
1255	CAGL0F01507g	157	48	309	181	200	253	261	385	840
1256	CAGL0F01529g	935	1762	1534	1046	1235	1695	813	1020	4238
1257	CAGL0F01551g	783	520	793	845	661	642	773	482	2893
1258	CAGL0F01573g	329	618	696	468	506	700	437	142	2453
1259	CAGL0F01595g	878	1861	1997	1843	1637	1725	1423	685	6581
1260	CAGL0F01617g	467	1211	1322	676	1076	1374	602	425	3874
1261	CAGL0F01639g	869	1620	1606	1937	1542	2123	1452	864	5817
1262	CAGL0F01661g	377	469	436	550	438	539	421	142	1752
1263	CAGL0F01683g	11232	6793	10419	8017	7511	6740	6939	1695	37494
1264	CAGL0F01705g	2520	2305	3676	4335	3412	3568	3300	533	11617
1265	CAGL0F01727g	748	986	1095	943	894	969	744	450	3149
1266	CAGL0F01749g	5770	8279	8186	5878	6867	7256	4299	1510	22951
1267	CAGL0F01771g	851	1447	1800	1288	1626	2036	1022	733	6313
1268	CAGL0F01793g	4550	57150	48774	10727	51103	52188	6087	22953	184109
1269	CAGL0F01815g	153	2146	1687	925	1575	2675	500	782	6755
1270	CAGL0F01837g	509	1370	1626	1071	1218	1654	942	728	5491
1271	CAGL0F01859g	58	198	206	155	225	259	78	94	664
1272	CAGL0F01881g	278	1068	833	518	710	854	387	245	2519
1273	CAGL0F01903g	365	608	606	428	541	642	309	168	1654
1274	CAGL0F01925g	448	359	405	744	511	458	622	332	2034
1275	CAGL0F01947g	1942	5131	6991	3937	5324	5620	4666	746	24656
1276	CAGL0F01969g	1390	2830	2901	3263	2632	3428	2245	953	8809
1277	CAGL0F01991g	2194	7848	5798	6346	6310	10262	4182	9605	30472
1278	CAGL0F02013g	936	6338	6009	2223	5981	8448	1520	12098	24397
1279	CAGL0F02035g	105	147	142	164	135	149	113	5	456
1280	CAGL0F02057g	9	4	5	7	3	9	1	1	2
1281	CAGL0F02079g	599	1622	1467	1498	1360	1893	1032	569	4658
1282	CAGL0F02101g	644	3385	2892	1653	2843	3683	1045	1502	10609
1283	CAGL0F02123g	1465	4979	4603	3052	3880	4074	2689	750	15480
1284	CAGL0F02145g	1097	2831	4878	1863	3726	4251	1814	1678	20608
1285	CAGL0F02167g	16	34	42	7	27	28	15	13	157
1286	CAGL0F02233g	999	2642	2584	2049	2888	3742	1463	1927	12393
1287	CAGL0F02255g	343	1773	1439	513	1147	1728	451	604	4237
1288	CAGL0F02277g	680	1913	1832	1281	1623	1745	907	561	5656
1289	CAGL0F02299g	713	405	784	878	737	621	898	184	2968
1290	CAGL0F02343g	323	1145	969	849	757	1120	644	479	4031
1291	CAGL0F02365g	279	797	630	317	502	613	238	264	1801
1292	CAGL0F02387g	4216	10087	10123	5862	10098	10552	4888	2521	36328
1293	CAGL0F02431g	2096	3493	3653	4878	5241	3089	3212	631	15495
1294	CAGL0F02453g	964	2083	1768	1714	1691	2242	1517	1378	5662
1295	CAGL0F02475g	62	36	172	111	113	180	111	107	512
1296	CAGL0F02497g	874	1928	2193	1990	1794	2812	1605	1287	9359
1297	CAGL0F02513g	487	1081	945	523	683	735	420	98	1935
1298	CAGL0F02519g	268	685	717	334	555	655	295	138	2172
1299	CAGL0F02541g	2864	3005	2555	4712	2927	3156	3027	3133	10300
1300	CAGL0F02563g	4244	3295	2764	4627	3130	2755	3427	761	8717
1301	CAGL0F02585g	84	247	424	121	432	473	119	18	1579
1302	CAGL0F02607g	20	28	22	16	17	27	5	1	44
1303	CAGL0F02651g	1	1	2	2	1	1	1	1	1
1304	CAGL0F02673g	970	2219	1945	1465	1763	1766	1329	870	5948
1305	CAGL0F02695g	888	1633	1498	1359	1517	1605	1100	654	3863
1306	CAGL0F02717g	305	1089	1717	723	1581	1492	693	473	5631
1307	CAGL0F02739g	468	1353	1611	1012	1142	1603	820	256	5879
1308	CAGL0F02761g	2735	4518	4016	3357	3943	3525	2582	1073	11544
1309	CAGL0F02783g	229	564	543	410	508	566	340	298	1418
1310	CAGL0F02805g	400	1089	1377	474	1037	1502	419	321	4318
1311	CAGL0F02827g	1206	3831	3489	2714	3063	4607	2276	4638	13701
1312	CAGL0F02849g	3498	3058	3191	5518	3791	3671	3899	2779	12288
1313	CAGL0F02871g	704	1380	1394	1292	1194	1624	1184	1083	4693
1314	CAGL0F02893g	1581	5420	4745	3422	4366	6462	2274	4405	16592
1315	CAGL0F02915g	1024	2394	1801	1881	2084	2159	1286	834	5766
1316	CAGL0F02937g	26546	31231	26012	22256	18711	16384	15744	3976	71435
1317	CAGL0F02959g	366	786	665	605	652	829	467	307	2307
1318	CAGL0F03003g	418	419	790	557	727	669	513	37	3682
1319	CAGL0F03025g	369	1175	903	464	810	1030	291	454	3015
1320	CAGL0F03047g	173	169	615	231	430	404	277	101	2820
1321	CAGL0F03069g	1063	3747	2810	2102	2783	4108	1088	2900	8612
1322	CAGL0F03091g	2215	7295	4866	5650	5069	7453	3283	5242	18885
1323	CAGL0F03113g	219	1292	991	512	852	1169	458	375	3475
1324	CAGL0F03135g	2052	7621	5671	3863	6005	6796	2824	4732	23174
1325	CAGL0F03157g	1308	2948	2175	1991	2510	2958	1430	2812	8996
1326	CAGL0F03179g	974	2042	2240	1488	1849	2147	1132	274	5812
1327	CAGL0F03201g	320	795	519	546	449	622	358	256	1802
1328	CAGL0F03223g	777	1273	2260	1385	1743	2154	1217	300	7878
1329	CAGL0F03245g	288	521	832	458	554	762	348	77	3013
1330	CAGL0F03261g	1	1	1	1	1	13	1	1	1
1331	CAGL0F03267g	336	618	1090	782	716	1104	716	286	3351
1332	CAGL0F03289g	507	762	886	958	751	715	802	393	2804
1333	CAGL0F03311g	121	141	343	144	295	366	158	169	1268
1334	CAGL0F03333g	475	666	531	702	442	571	533	244	1576
1335	CAGL0F03399g	1588	2119	2624	2588	2527	2503	1930	333	9659
1336	CAGL0F03421g	447	1134	1165	940	958	1084	647	233	3383
1337	CAGL0F03443g	361	975	994	635	917	1107	496	439	3353
1338	CAGL0F03465g	796	1408	2450	1201	2003	2444	1138	963	9334
1339	CAGL0F03487g	1078	3592	1956	2578	1972	2991	1335	1145	4909
1340	CAGL0F03531g	1025	2823	1999	1459	1938	2359	974	618	5819
1341	CAGL0F03553g	1686	3158	3961	2569	3319	3985	1999	861	14491
1342	CAGL0F03575g	907	3197	3270	2529	3008	4042	1383	2051	14530
1343	CAGL0F03597g	150	302	309	355	291	352	339	200	1437
1344	CAGL0F03619g	86	304	326	167	240	272	135	39	1027
1345	CAGL0F03641g	553	6460	6096	506	5429	6354	161	8936	24740
1346	CAGL0F03663g	1887	4504	3561	3477	3295	4594	2680	1631	11104
1347	CAGL0F03685g	545	1336	1473	878	1204	1503	772	396	4981
1348	CAGL0F03707g	141	435	794	381	669	668	273	207	4170
1349	CAGL0F03729g	673	1944	1633	1107	1175	1753	831	729	4673
1350	CAGL0F03751g	493	804	1203	955	823	1438	799	539	4284
1351	CAGL0F03773g	644	1088	1089	1011	835	1020	1004	292	4102
1352	CAGL0F03795g	376	720	817	472	639	859	363	441	2662
1353	CAGL0F03817g	431	2134	2287	1612	1513	2536	1263	416	8082
1354	CAGL0F03839g	1051	5827	5432	3729	3001	6090	3381	2048	15784
1355	CAGL0F03861g	932	2296	1743	1148	1509	1960	765	1070	5820
1356	CAGL0F03883g	1065	1213	1899	1492	1453	1574	1363	279	5902
1357	CAGL0F03905g	778	1358	2238	1314	1883	2233	1070	495	8906
1358	CAGL0F03927g	9544	3732	4491	10875	5054	4070	6627	2507	21656
1359	CAGL0F03949g	946	3162	3253	2424	3159	4478	1466	947	11301
1360	CAGL0F03971g	447	562	1709	670	1112	1261	770	195	5590
1361	CAGL0F03993g	591	1705	1616	1041	1378	2000	813	1729	5250
1362	CAGL0F04015g	176	291	466	226	379	350	257	153	1381
1363	CAGL0F04081g	86	367	320	134	276	329	55	3	839
1364	CAGL0F04103g	3823	3576	2822	6611	3741	3367	3615	2285	15527
1365	CAGL0F04125g	78	201	440	175	300	257	209	66	1519
1366	CAGL0F04191g	439	3054	2517	710	2249	2938	454	538	6830
1367	CAGL0F04213g	1050	662	2211	1436	1853	1626	2478	185	8269
1368	CAGL0F04235g	202	808	542	404	495	692	344	199	2062
1369	CAGL0F04257g	3894	6517	6970	6256	5817	6575	4663	2092	22865
1370	CAGL0F04279g	324	508	1337	502	859	1435	556	195	3855
1371	CAGL0F04301g	535	1264	1125	862	980	1178	666	325	3493
1372	CAGL0F04323g	451	838	784	1138	619	691	826	294	2530
1373	CAGL0F04345g	588	2524	2144	1174	1944	2315	895	588	6712
1374	CAGL0F04367g	756	2141	2549	1157	2121	2376	1103	519	8692
1375	CAGL0F04389g	649	1071	2374	1307	1748	2176	1056	268	7939
1376	CAGL0F04411g	968	1835	1892	1236	1564	1485	1121	486	6022
1377	CAGL0F04433g	3020	3345	2435	4766	2575	2302	2726	1081	8280
1378	CAGL0F04455g	771	1915	1952	1275	1483	1776	1075	253	5130
1379	CAGL0F04477g	2172	5940	6207	4205	6181	6464	3120	1366	23510
1380	CAGL0F04499g	5542	1740	3518	6609	4058	3565	6214	635	17598
1381	CAGL0F04521g	9	12	9	7	17	13	5	1	41
1382	CAGL0F04543g	1	3	1	2	1	1	1	1	1
1383	CAGL0F04565g	936	1010	4892	1484	3110	2596	2828	351	23018
1384	CAGL0F04587g	412	572	497	526	364	544	431	205	1773
1385	CAGL0F04609g	1608	6405	7390	4248	6829	8247	3553	1436	26278
1386	CAGL0F04631g	6	128	291	171	113	428	329	1	1272
1387	CAGL0F04653g	1271	7313	5253	2951	4515	6374	2530	2398	15270
1388	CAGL0F04697g	998	3509	3255	1347	2896	3224	885	1420	13143
1389	CAGL0F04719g	284	748	1305	482	847	906	623	111	4580
1390	CAGL0F04741g	1502	9087	10883	3298	9325	12517	2571	7114	48685
1391	CAGL0F04763g	183	597	541	406	404	601	321	200	1360
1392	CAGL0F04785g	1087	1677	2535	1485	2546	3295	950	736	10934
1393	CAGL0F04807g	769	1914	4710	2261	4098	5446	2349	2940	18197
1394	CAGL0F04829g	1271	10532	9005	3536	9256	12826	2605	3959	33938
1395	CAGL0F04851g	259	2255	2169	827	1953	2981	679	1069	9052
1396	CAGL0F04873g	1585	4309	4850	2517	4516	4157	2351	780	16126
1397	CAGL0F04895g	3813	23949	22859	24961	24509	34594	16200	13732	99405
1398	CAGL0F04917g	80	147	120	97	83	125	115	69	391
1399	CAGL0F04939g	297	343	394	647	293	335	440	241	1211
1400	CAGL0F04961g	370	1247	798	757	715	683	507	523	2696
1401	CAGL0F04983g	1445	1090	869	1896	946	876	1233	892	3824
1402	CAGL0F05005g	340	636	972	601	667	726	552	183	3823
1403	CAGL0F05027g	320	741	639	566	673	944	448	380	2380
1404	CAGL0F05049g	75	227	230	186	166	268	105	67	769
1405	CAGL0F05071g	142	433	422	384	420	541	440	166	2541
1406	CAGL0F05093g	5	13	2	7	17	11	5	27	22
1407	CAGL0F05115g	6030	6310	5327	6872	4814	4927	4710	1748	15784
1408	CAGL0F05137g	7	9	10	10	18	20	13	1	72
1409	CAGL0F05159g	1456	2391	3534	2515	3542	4352	2012	1711	13295
1410	CAGL0F05181g	276	1160	935	601	732	917	471	270	2964
1411	CAGL0F05203g	25	46	52	38	21	48	32	17	121
1412	CAGL0F05225g	121	233	282	134	165	191	94	72	799
1413	CAGL0F05247g	218	711	722	481	460	709	396	179	2026
1414	CAGL0F05269g	634	1653	1494	1232	1252	1505	930	529	5258
1415	CAGL0F05329g	3752	19956	19338	4732	14611	14546	5328	2986	52497
1416	CAGL0F05335g	627	995	2176	1078	1707	2074	886	501	8841
1417	CAGL0F05357g	1215	2057	4005	2138	2592	3348	2303	1167	11236
1418	CAGL0F05379g	954	1684	1567	1456	1318	1390	1155	334	5068
1419	CAGL0F05401g	509	2870	2091	1793	1351	2677	1242	411	5822
1420	CAGL0F05423g	437	1272	1340	630	1112	1235	589	65	3600
1421	CAGL0F05445g	227	995	766	509	718	1024	421	439	3123
1422	CAGL0F05467g	235	196	532	390	453	555	448	548	1931
1423	CAGL0F05489g	61	25	148	52	133	173	70	143	560
1424	CAGL0F05511g	413	943	899	611	755	792	578	166	3522
1425	CAGL0F05533g	287	605	465	486	482	494	333	159	1656
1426	CAGL0F05555g	162	620	488	333	431	481	256	182	1514
1427	CAGL0F05577g	659	707	889	730	595	542	649	238	2596
1428	CAGL0F05599g	676	1250	1294	1397	1055	1547	750	1621	5428
1429	CAGL0F05621g	210	243	190	287	212	200	301	69	805
1430	CAGL0F05643g	1685	2679	2497	3081	2477	2741	2430	992	7306
1431	CAGL0F05665g	2857	6909	7873	6546	7764	11006	4797	4371	34544
1432	CAGL0F05687g	802	2041	2176	1198	2182	2104	986	291	6945
1433	CAGL0F05709g	91	61	63	165	122	37	194	49	272
1434	CAGL0F05731g	212	401	391	235	340	310	263	47	1295
1435	CAGL0F05753g	490	1070	988	630	753	834	673	257	3055
1436	CAGL0F05775g	449	1115	1128	657	910	1203	520	503	4080
1437	CAGL0F05797g	201	485	354	266	388	417	260	173	1512
1438	CAGL0F05819g	222	789	886	329	644	828	210	233	2344
1439	CAGL0F05841g	340	2579	2634	1213	2615	3303	1213	2007	9886
1440	CAGL0F05863g	12757	10979	16869	22315	17292	21447	15912	4951	64154
1441	CAGL0F05885g	975	590	748	1356	716	760	1049	309	2210
1442	CAGL0F05907g	1188	1903	1900	1503	1689	2081	1140	850	6035
1443	CAGL0F05929g	98	333	187	180	199	181	108	138	571
1444	CAGL0F05951g	163	762	629	219	557	563	170	323	1649
1445	CAGL0F05973g	176	1005	721	328	535	800	262	393	2010
1446	CAGL0F05995g	86	49	109	75	69	58	47	27	398
1447	CAGL0F06017g	1526	7879	5579	4324	4570	8318	3411	4918	21478
1448	CAGL0F06039g	1816	2743	2723	2476	2669	2869	1957	1335	10799
1449	CAGL0F06061g	480	2256	1892	1301	1987	2285	1121	609	5813
1450	CAGL0F06127g	1534	3112	3631	2285	2982	3621	1904	1048	12401
1451	CAGL0F06149g	396	792	703	756	724	782	497	733	2362
1452	CAGL0F06171g	1122	3278	3864	1676	3152	3795	1466	628	11281
1453	CAGL0F06215g	456	940	1202	561	952	1135	558	507	3833
1454	CAGL0F06237g	1190	2327	2123	1784	1770	2147	1268	776	6092
1455	CAGL0F06259g	445	859	888	728	709	898	588	438	2798
1456	CAGL0F06325g	2479	6025	5372	3130	5105	6624	1990	2971	18488
1457	CAGL0F06347g	1514	7008	6107	2487	5471	6799	1770	2810	21097
1458	CAGL0F06369g	2183	5837	5089	3614	4627	6665	2885	4940	18700
1459	CAGL0F06391g	376	1131	1079	698	711	1386	451	703	3835
1460	CAGL0F06413g	1275	2717	3899	2931	1899	3397	2166	325	5335
1461	CAGL0F06435g	220	373	406	315	306	283	174	160	1232
1462	CAGL0F06457g	541	1258	1238	912	975	1224	686	499	4198
1463	CAGL0F06479g	655	1212	1113	1290	1109	1318	848	442	3577
1464	CAGL0F06501g	444	456	687	1096	606	656	1211	192	3136
1465	CAGL0F06523g	458	644	471	866	378	582	555	436	1926
1466	CAGL0F06545g	43	110	111	89	70	108	50	34	363
1467	CAGL0F06567g	542	1643	1113	1024	1092	1449	923	164	4477
1468	CAGL0F06589g	11	72	52	20	39	67	27	34	122
1469	CAGL0F06611g	393	556	681	498	561	582	454	237	2224
1470	CAGL0F06633g	216	478	635	263	479	550	239	164	2031
1471	CAGL0F06655g	33	22	47	25	51	70	23	11	224
1472	CAGL0F06677g	1	2	4	1	6	1	1	1	3
1473	CAGL0F06693g	2993	3479	3611	3186	3066	2721	2839	688	9832
1474	CAGL0F06699g	11	67	39	27	32	38	19	3	82
1475	CAGL0F06721g	1368	5753	3455	3459	3172	4485	2140	2458	11583
1476	CAGL0F06743g	258	997	930	414	814	991	373	273	2960
1477	CAGL0F06765g	204	450	550	307	432	475	256	102	1462
1478	CAGL0F06787g	337	966	1079	576	854	1079	466	488	3270
