	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
3061	CAGL0J03124g	1168	2935	2335	3209	1937	2861	1998	2988	9575
3062	CAGL0J03146g	2623	1915	2437	5688	2666	2197	5366	287	7728
3063	CAGL0J03168g	509	2157	1858	1033	1646	2518	912	730	6566
3064	CAGL0J03190g	300	1219	1097	663	772	1204	413	609	3390
3065	CAGL0J03212g	14482	18289	17922	25516	15451	16426	19801	7006	64630
3066	CAGL0J03234g	38033	25626	35560	35683	29971	28236	27462	6915	96902
3067	CAGL0J03245g	542	964	1791	979	1363	1352	1012	165	6543
3068	CAGL0J03256g	3199	10226	12138	5648	11022	11495	4621	1419	46652
3069	CAGL0J03278g	257	649	805	370	833	1172	383	2385	2901
3070	CAGL0J03300g	337	900	678	565	807	804	444	473	3247
3071	CAGL0J03322g	832	3008	2676	1436	2692	2914	1167	871	9430
3072	CAGL0J03344g	917	1676	1051	1878	1143	1534	1182	541	3733
3073	CAGL0J03366g	3930	7662	6199	8011	6268	8557	4601	8252	26164
3074	CAGL0J03388g	232	867	552	561	605	655	268	259	1699
3075	CAGL0J03432g	505	2538	2982	871	2240	2901	865	518	8078
3076	CAGL0J03454g	1050	1951	2027	2420	1781	2774	1746	1417	7800
3077	CAGL0J03476g	1842	2043	1276	3203	1478	1443	1858	1391	4686
3078	CAGL0J03498g	1266	2166	3481	2257	2929	3101	1732	351	12787
3079	CAGL0J03520g	2417	5334	6974	5430	5905	6597	3308	725	28799
3080	CAGL0J03542g	35	42	133	43	77	116	42	83	564
3081	CAGL0J03564g	678	2383	1980	951	1723	1698	926	645	6056
3082	CAGL0J03586g	259	483	443	378	352	376	285	291	1141
3083	CAGL0J03608g	433	658	1377	1360	1168	1402	1105	79	5192
3084	CAGL0J03630g	70	176	124	137	110	136	98	64	666
3085	CAGL0J03652g	2914	6039	4640	3746	4112	4348	2695	1237	13827
3086	CAGL0J03674g	190	990	848	544	799	1201	353	324	2959
3087	CAGL0J03696g	773	954	1233	1303	1215	1342	1305	1589	4584
3088	CAGL0J03718g	1622	2187	1720	2595	1716	1926	1840	1407	6086
3089	CAGL0J03740g	146	157	226	249	211	216	185	82	731
3090	CAGL0J03762g	445	3690	2819	535	2226	2561	451	592	8192
3091	CAGL0J03780g	1725	3242	2669	2707	2368	2899	2091	1360	8815
3092	CAGL0J03806g	515	2754	1934	1180	1838	2591	774	893	6606
3093	CAGL0J03828g	873	3266	2942	1723	2534	3586	1172	1625	9706
3094	CAGL0J03850g	1166	1765	2214	1566	1842	1683	1447	97	6487
3095	CAGL0J03872g	820	3111	3093	1608	2877	3819	1026	1514	9129
3096	CAGL0J03894g	742	1185	752	691	753	740	438	500	2232
3097	CAGL0J03916g	367	7368	11758	488	12082	10752	414	2149	54238
3098	CAGL0J03938g	107	275	281	150	231	282	184	75	824
3099	CAGL0J03960g	661	2018	1960	1729	1671	1989	1363	281	6812
3100	CAGL0J03982g	19	67	63	50	105	155	43	111	481
3101	CAGL0J04004g	46	486	483	125	470	498	81	48	2552
3102	CAGL0J04026g	446	2487	2398	1354	2155	2526	995	586	6437
3103	CAGL0J04048g	1107	1848	1215	1232	1330	1455	858	1658	4774
3104	CAGL0J04070g	2690	2636	2354	3408	2370	2043	2424	1006	6847
3105	CAGL0J04092g	314	1565	1531	667	1186	1669	478	408	5686
3106	CAGL0J04114g	2148	4474	4190	3891	3921	4534	3319	1127	11937
3107	CAGL0J04136g	756	1770	1606	1492	1954	1891	895	681	4782
3108	CAGL0J04158g	813	25096	19006	1983	15601	21517	1371	3263	68245
3109	CAGL0J04180g	652	3298	4573	1110	3894	4825	1128	991	17516
3110	CAGL0J04202g	3876	20894	33567	25875	31203	37430	20647	10509	163054
3111	CAGL0J04224g	859	1671	1527	1053	1531	1675	991	567	4501
3112	CAGL0J04246g	969	2740	2203	2238	2093	2809	1541	1023	7084
3113	CAGL0J04268g	603	3753	2872	1983	3037	3978	1734	1224	9198
3114	CAGL0J04290g	15	37	60	25	46	42	50	27	224
3115	CAGL0J04312g	1126	4474	4026	2183	3577	4517	1609	1534	12043
3116	CAGL0J04334g	30	24	40	39	43	44	47	93	160
3117	CAGL0J04356g	172	670	596	488	510	581	331	327	1628
3118	CAGL0J04378g	1173	3885	3169	2273	2821	3571	1829	2001	8111
3119	CAGL0J04400g	410	1561	1223	812	944	1389	573	522	3066
3120	CAGL0J04422g	2116	3831	5292	4049	4815	5404	2951	2129	17568
3121	CAGL0J04444g	860	838	1178	1581	887	1095	1205	707	3616
3122	CAGL0J04466g	1625	6222	9038	2550	6474	9467	1977	1798	28728
3123	CAGL0J04488g	131	321	370	198	340	361	135	68	1159
3124	CAGL0J04510g	1472	2343	2704	2474	2272	3043	2142	1340	10418
3125	CAGL0J04532g	1136	1829	1396	2023	1618	1796	1086	724	5013
3126	CAGL0J04554g	429	1612	1429	988	1241	1502	720	484	4190
3127	CAGL0J04576g	718	562	348	1001	571	413	558	55	1564
3128	CAGL0J04598g	1386	1562	1025	1717	1251	1116	1034	490	4635
3129	CAGL0J04620g	1372	2827	3069	2578	2754	3850	2464	2072	10742
3130	CAGL0J04642g	1182	2228	2670	2299	2067	3025	1780	3889	12135
3131	CAGL0J04664g	1797	3396	2991	2317	2746	2882	1789	540	8094
3132	CAGL0J04686g	78	247	232	113	172	246	88	49	717
3133	CAGL0J04708g	154	406	273	341	326	338	159	94	1094
3134	CAGL0J04752g	464	1855	1370	827	1483	1513	602	530	5072
3135	CAGL0J04774g	209	916	603	395	546	657	342	226	1999
3136	CAGL0J04796g	595	2361	1981	1339	1458	2360	1058	721	6752
3137	CAGL0J04818g	1086	3868	3890	2168	3456	3696	2001	1281	12808
3138	CAGL0J04840g	207	518	342	283	250	369	229	188	839
3139	CAGL0J04862g	571	661	843	637	587	800	516	663	3169
3140	CAGL0J04884g	109	956	1236	569	667	2222	520	707	5679
3141	CAGL0J04906g	33	184	254	87	264	210	93	28	884
3142	CAGL0J04928g	655	675	664	948	578	428	759	203	2981
3143	CAGL0J04950g	309	436	341	569	262	312	532	105	950
3144	CAGL0J04972g	112	200	185	121	190	194	83	47	513
3145	CAGL0J04994g	324	1502	1390	677	1112	1532	583	812	4826
3146	CAGL0J05016g	1809	2348	3048	2828	2619	3632	2301	2131	10721
3147	CAGL0J05038g	3027	7707	6549	6466	6146	9754	3540	3447	23852
3148	CAGL0J05060g	1528	6652	6377	4592	3926	8762	3456	1134	16115
3149	CAGL0J05082g	208	567	1034	422	784	997	424	300	3337
3150	CAGL0J05104g	259	461	1015	569	889	1102	469	93	3984
3151	CAGL0J05126g	859	8899	5867	1351	4908	6396	829	1821	15052
3152	CAGL0J05159g	386	685	864	1549	871	1189	1337	210	3487
3153	CAGL0J05214g	1060	2101	1860	1433	1628	2098	1170	964	7163
3154	CAGL0J05236g	709	1587	1433	992	1325	1624	834	560	5036
3155	CAGL0J05258g	3086	7901	6094	6305	5907	8310	3822	4876	23056
3156	CAGL0J05280g	559	1867	1669	1093	1487	1547	983	790	6085
3157	CAGL0J05302g	492	1781	1564	906	1391	1722	686	582	4792
3158	CAGL0J05324g	1091	7859	5732	3547	5155	6528	2488	2209	20058
3159	CAGL0J05346g	3149	8641	7349	5666	7381	9180	3384	4065	28082
3160	CAGL0J05368g	335	674	819	732	726	1240	533	182	2935
3161	CAGL0J05390g	354	59	76	118	69	69	120	75	392
3162	CAGL0J05412g	1335	1601	1507	2024	1516	1384	1344	558	4700
3163	CAGL0J05434g	5596	12209	16389	10170	15406	17473	8575	4807	56681
3164	CAGL0J05456g	264	817	795	649	717	876	550	327	2792
3165	CAGL0J05478g	2193	4329	4322	3568	3802	4717	2764	2032	15732
3166	CAGL0J05500g	205	735	654	660	486	846	441	129	2429
3167	CAGL0J05522g	946	1817	2123	2031	1895	2711	1439	1501	7896
3168	CAGL0J05544g	896	3626	3322	1772	2712	3117	1370	693	11739
3169	CAGL0J05566g	1958	5014	4950	4069	4697	6356	2291	4621	21560
3170	CAGL0J05588g	341	1107	755	500	696	772	326	204	1921
3171	CAGL0J05610g	2755	5514	6094	5031	5524	6604	3387	5003	21723
3172	CAGL0J05632g	224	523	457	340	447	623	284	309	2012
3173	CAGL0J05654g	1158	2207	2192	1796	2081	2650	1459	1375	8115
3174	CAGL0J05676g	396	627	682	623	477	644	468	282	2035
3175	CAGL0J05698g	1201	776	1070	1757	1186	1105	1265	860	4318
3176	CAGL0J05720g	1275	2132	2637	3075	2770	2555	2083	530	11951
3177	CAGL0J05742g	202	431	480	357	409	467	262	211	1747
3178	CAGL0J05764g	899	1434	1623	1377	1236	1254	1120	461	5673
3179	CAGL0J05786g	558	692	1047	756	790	783	616	138	4510
3180	CAGL0J05808g	417	1099	1008	593	983	1161	445	928	4070
3181	CAGL0J05830g	210	728	1445	282	1109	1574	213	281	5362
3182	CAGL0J05852g	383	2155	2030	1464	1806	2801	680	1605	8611
3183	CAGL0J05874g	363	1830	1654	781	1649	2078	476	1022	6421
3184	CAGL0J05896g	556	1251	987	1039	992	1156	707	983	3676
3185	CAGL0J05918g	2684	6622	6973	4121	6720	7988	3295	9162	30000
3186	CAGL0J05940g	465	1249	2119	772	1335	1505	691	169	8679
3187	CAGL0J05962g	153	877	770	409	884	1017	396	298	3957
3188	CAGL0J05984g	1633	744	878	1710	1021	948	1167	330	2935
3189	CAGL0J06006g	797	1206	1017	1194	924	868	1129	325	3595
3190	CAGL0J06028g	779	1016	961	534	1182	529	255	63	2378
3191	CAGL0J06050g	214	96	278	555	291	413	660	21	1447
3192	CAGL0J06072g	883	1908	2263	1870	2323	2564	1230	492	8168
3193	CAGL0J06088g	347	388	403	463	434	369	304	145	1428
3194	CAGL0J06094g	300	335	1122	382	686	678	566	223	3623
3195	CAGL0J06116g	259	513	412	368	405	461	270	171	1361
3196	CAGL0J06138g	440	773	886	848	769	913	687	448	2995
3197	CAGL0J06160g	879	1646	2353	1844	2020	2963	1254	1175	8307
3198	CAGL0J06182g	1304	2580	3187	2621	2970	3673	1858	2382	13886
3199	CAGL0J06204g	1049	2859	2131	1386	2006	2641	928	1199	5428
3200	CAGL0J06226g	822	2536	3314	1728	2181	2562	2103	520	10529
3201	CAGL0J06248g	1216	3469	3124	2068	2851	4555	1520	2302	13583
3202	CAGL0J06270g	180	710	799	399	718	1002	326	371	3225
3203	CAGL0J06292g	680	1598	1243	1200	1261	1617	726	776	5209
3204	CAGL0J06314g	660	2005	2373	1063	1816	1761	970	340	6755
3205	CAGL0J06336g	200	833	824	494	735	943	450	163	3207
3206	CAGL0J06358g	10	32	68	43	37	34	39	26	171
3207	CAGL0J06374g	5424	2915	16285	5314	9910	6807	9972	1495	79973
3208	CAGL0J06380g	1407	3239	5325	3310	3808	3998	3802	850	19775
3209	CAGL0J06402g	332	2859	1741	2290	2159	2164	1473	623	6205
3210	CAGL0J06424g	787	797	781	1148	721	873	907	485	3378
3211	CAGL0J06468g	869	3463	4074	1860	3329	3497	1381	593	12697
3212	CAGL0J06490g	930	1923	1869	1168	2018	2047	969	1073	8159
3213	CAGL0J06512g	436	736	534	724	613	623	531	179	2115
