"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"79","CAGL0F01177g",1648.08181879884,-1.17489406800075,0.193006751043165,1.5165347596857e-08,"","CAL0129631","YOL036W","YOL036W","S000005396"
"80","CAGL0F01287g",6052.04434768959,-1.24712793754507,0.176599101373866,3.38950239523807e-11,"GAS5","CAL0129998","YOL030W","GAS5","S000005390"
"81","CAGL0F01463g",110626.874956068,-2.67772118687162,0.21378249156757,1.35626223607737e-33,"TIR1","CAL0129864","YOR010C","TIR2","S000005536"
"82","CAGL0F01925g",709.311659964902,-1.14097505058567,0.20707263825999,3.6729739760313e-07,"","CAL0129990","YLR051C","FCF2","S000004041"
"83","CAGL0F02541g",4178.02079219126,-1.11906492273056,0.176663364461459,3.48652160900525e-09,"","CAL0129392","YDR398W","UTP5","S000002806"
"84","CAGL0F02563g",4682.4441295305,-1.50502455407485,0.227493237769921,6.05013818031484e-10,"HPT1","CAL0131144","YDR399W","HPT1","S000002807"
"85","CAGL0F02849g",5078.09268751106,-1.14692271801586,0.162649947302374,3.61710494212826e-11,"","CAL0129164","YDR412W","RRP17","S000002820"
"86","CAGL0F03927g",9857.74194092908,-1.74865939608165,0.274150417775711,2.65703271312997e-09,"","CAL0129288","YMR217W","GUA1","S000004830"
"87","CAGL0F04103g",5397.19767263688,-1.21545483889844,0.23423847910442,1.88364754957686e-06,"","CAL0129814","YBL028C","YBL028C","S000000124"
"88","CAGL0F04433g",3933.58706536984,-1.39510149656316,0.199388122293733,5.26056681138065e-11,"URA7","CAL0131306","YBL039C","URA7","S000000135"
"89","CAGL0F04499g",6958.52371795766,-1.46066902819958,0.226919597955742,1.87190431328959e-09,"","CAL0129568","YBL042C","FUI1","S000000138"
"90","CAGL0F04983g",1697.65244329588,-1.54059768006854,0.227398360010931,2.23395845543051e-10,"","CAL0130982","YLR276C","DBP9","S000004266"
"91","CAGL0F05115g",7189.46448401345,-1.13475446440051,0.230278174197399,6.54713588250974e-06,"","CAL0131126","YLR413W","INA1","S000004405"
"92","CAGL0F05621g",313.251476006967,-1.19786200889341,0.224381312204742,9.02170150039508e-07,"","CAL0129434","YDR191W","HST4","S000002599"
"93","CAGL0F05709g",147.582949959402,-2.11587091987008,0.341665814912676,8.26431398975111e-09,"","CAL0131110","YDR184C","ATC1","S000002592"
"94","CAGL0F05885g",1252.34801876136,-1.51013629390726,0.183788149971975,7.81308163496482e-15,"","CAL0131070","YMR032W","HOF1","S000004635"
"95","CAGL0F06501g",1060.88014603498,-1.06706490771007,0.2651067200676,0.000307296413290739,"","CAL0131182","YMR062C","ARG7","S000004666"
"96","CAGL0F06809g",1376.52266370113,-1.48723086306576,0.226810477132438,8.74375371353752e-10,"","CAL0131296","YIR026C","YVH1","S000001465"
"97","CAGL0F06875g",6516.61532711774,-1.03576607695621,0.247680171531055,0.000164471169908174,"","CAL0130944","YIR034C","LYS1","S000001473"
"98","CAGL0F07139g",2909.42981541493,-1.22143138999048,0.171299025049643,2.15935911993549e-11,"","CAL0130980","YGL120C","PRP43","S000003088"
"99","CAGL0F07579g",14269.8763452053,-1.41503295687129,0.591307558110698,0.0410754008884079,"CWP1.2","CAL0131192","YKL096W","CWP1","S000001579"
"100","CAGL0F07601g",38811.694823508,-1.51332607492659,0.286408677612352,1.1751712017527e-06,"CWP1.1","CAL0131282","YKL096W-A","CWP2","S000001956"
"101","CAGL0F07623g",1141.79996269139,-1.26720685077583,0.197133705375405,1.96524905682793e-09,"","CAL0131288","YKL098W","MTC2","S000001581"
"102","CAGL0F07645g",677.512218778959,-1.56193077131712,0.222217960475715,4.22130626515017e-11,"","CAL0131190","YKL099C","UTP11","S000001582"
"103","CAGL0F08129g",3157.28972029345,-1.71352765145481,0.215998421025218,6.68980897119082e-14,"SDA1","CAL0129292","YGR245C","SDA1","S000003477"
"104","CAGL0F09075g",3607.23999872784,-1.02018357969706,0.225838879109379,4.14175606432116e-05,"","CAL0129548","YHR205W","SCH9","S000001248"
"105","CAGL0G00154g",20267.6386605226,-1.03575264864423,0.201338165996293,2.33722043173184e-06,"","CAL0137601","YGR285C","ZUO1","S000003517"
"106","CAGL0G00264g",2460.06143415756,-2.08869295796864,0.191331106527591,1.2011937263992e-25,"","CAL0129340","YGR280C","PXR1","S000003512"
"107","CAGL0G00924g",2381.51123332621,-1.05410683886641,0.15618477264132,2.62222369833788e-10,"GLM5","CAL0137583","YLR336C","SGD1","S000004328"
"108","CAGL0G01078g",61299.8819888939,-1.03222799046893,0.266222178962822,0.000526599136555508,"","CAL0129443","YLR344W","RPL26A","S000004336"
"109","CAGL0G01826g",53726.9501304433,-1.01827140066279,0.275228552216844,0.000997635012415162,"","CAL0137763","YPR102C","RPL11A","S000006306"
"110","CAGL0G02409g",1294.63222670938,-1.58872329194098,0.289232007036065,4.01475614863141e-07,"SRP40","CAL0130749","YKR092C","SRP40","S000001800"
"111","CAGL0G02453g",42.1474542488081,-1.6247400523631,0.558897780243353,0.0114370855997826,"","CAL0129352","YKR093W","PTR2","S000001801"
"112","CAGL0G02629g",792.617252429482,-1.4940506968576,0.243612600233894,1.1770737878945e-08,"","CAL0129180","YIL096C","BMT5","S000001358"
"113","CAGL0G02761g",1629.70393763106,-1.1438037258273,0.171392163496018,4.20695472382793e-10,"","CAL0130727","YIL103W","DPH1","S000001365"
"114","CAGL0G03443g",5430.1663263405,-1.23559367010318,0.259662659183193,1.45973291444127e-05,"","CAL0137765","YER110C","KAP123","S000000912"
"115","CAGL0G03927g",127.078042048503,-1.68050873554466,0.373914891720684,4.51893268787365e-05,"TPO1_1","CAL0137711","YLL028W","TPO1","S000003951"
"116","CAGL0G04411g",8032.01358808521,-1.25185124473156,0.313134946093683,0.000337265859982212,"","CAL0137661","YJL109C","UTP10","S000003645"
"117","CAGL0G04631g",9127.09344291963,-1.21111877354985,0.196035227359584,8.9984816511443e-09,"","CAL0130225","YDR492W","IZH1","S000002900"
"118","CAGL0G04983g",1790.87491881389,-1.34883802837975,0.16505831487527,1.10132305741743e-14,"","CAL0137605","YLR363W-A","YLR363W-A","S000007620"
"119","CAGL0G05379g",626.810980974787,-1.00048711286276,0.225440905641646,5.69826718357782e-05,"","CAL0137633","YNL199C","GCR2","S000005143"
"120","CAGL0G05566g",1803.68826207704,-1.94082083947867,0.221228810192511,9.00902558181429e-17,"","CAL0130661","YDL222C","FMP45","S000002381"
"121","CAGL0G05588g",49.6543386927456,-1.08886480180026,0.430084886734808,0.0298719871760731,"","CAL0130659","YDL220C","CDC13","S000002379"
"122","CAGL0G05632g",126.592312547941,-1.77949302610633,0.419538666945368,0.000129365919246798,"","CAL0130596","YDL218W","YDL218W","S000002377"
"123","CAGL0G05742g",1417.74709354817,-2.18494659188764,0.182577185056142,1.10025320642178e-30,"","CAL0130025","YDL213C","NOP6","S000002372"
"124","CAGL0G05808g",528.024671867832,-1.05203309830874,0.178525295527556,4.57727241916331e-08,"","CAL0130478","YDL211C","YDL211C","S000002370"
"125","CAGL0G05896g",4055.55046226177,-1.36105423822124,0.2514207796661,6.09207416335659e-07,"","CAL0130797","YHR143W","DSE2","S000001186"
"126","CAGL0G05940g",74674.2371510803,-1.0177989071784,0.28239091610044,0.00139567154221327,"","CAL0129156","YHR141C","RPL42B","S000001183"
"127","CAGL0G06248g",3930.61893699841,-1.52491961306083,0.186968829259765,1.22939627858083e-14,"","CAL0130408","YAL025C","MAK16","S000000023"
"128","CAGL0G07106g",3044.30246172725,-1.45811831659524,0.2495318932429,6.02386838621798e-08,"APT1","CAL0130544","YML022W","APT1","S000004484"
"129","CAGL0G07535g",3090.30318238826,-1.54455007272553,0.170568708270188,8.63049521940684e-18,"","CAL0130446","YOR294W","RRS1","S000005820"
"130","CAGL0G07557g",31.2208816468655,-1.58544805478404,0.500537531558201,0.00554557123956147,"","CAL0130171","YOR295W","UAF30","S000005821"
"131","CAGL0G07843g",5240.98827860345,-1.38080105027956,0.204776044568997,2.72553214418549e-10,"","CAL0137773","YGR103W","NOP7","S000003335"
"132","CAGL0G07975g",899.798390481907,-1.23325707472807,0.20565589946146,2.55846627252082e-08,"","CAL0130153","YNR038W","DBP6","S000005321"
"133","CAGL0G08019g",796.961692502228,-1.24286885774781,0.292229594268895,0.000123609936102766,"","CAL0129369","YDR090C","ILT1","S000002497"
"134","CAGL0G08041g",5412.73540221822,-1.37791357505736,0.225279016736694,1.28394663139803e-08,"","CAL0129825","YDR091C","RLI1","S000002498"
"135","CAGL0G08668g",2597.39002088692,-1.67427104684725,0.245582454996765,1.69810084105294e-10,"","CAL0137725","YIL123W","SIM1","S000001385"
"136","CAGL0G09273g",454.861469396075,-1.22255115958843,0.299907941643473,0.000251864578916398,"","CAL0129313","YGR197C","SNG1","S000003429"
"137","CAGL0G09515g",995.113377053185,-1.1921819127873,0.225812172333069,1.20066480215127e-06,"","CAL0129456","YOR190W","SPR1","S000005716"
"138","CAGL0G10021g",398.386838369483,-1.16219690053968,0.268779788561768,9.25374196627125e-05,"","CAL0129918","YPR186C","PZF1","S000006390"
"139","CAGL0G10043g",6294.01729991094,-1.11506139950008,0.187701560245647,3.51865818148e-08,"","CAL0129249","YPR187W","RPO26","S000006391"
"140","CAGL0H01177g",4070.1950264382,-1.56527067553446,0.670579684603319,0.0465980865066167,"","CAL0131968","YDR284C","DPP1","S000002692"
"141","CAGL0H02079g",1328.08107032248,-1.16884013927139,0.197568062138915,4.03400967238259e-08,"","CAL0132028","YHR088W","RPF1","S000001130"
"142","CAGL0H02189g",1475.40199128441,-1.36810228748969,0.157389809916499,1.75815254951465e-16,"","CAL0131664","YMR269W","TMA23","S000004882"
"143","CAGL0H02431g",53.2991995675623,-1.84088917679319,0.473367498456224,0.00050456149984951,"","CAL0132018","YMR259C","TRM732","S000004872"
"144","CAGL0H02695g",1260.33024497039,-1.727625566387,0.239024254248763,1.10174490601111e-11,"","CAL0129886","YKR058W","GLG1","S000001766"
"145","CAGL0H02937g",1655.4836746841,-1.09774977051374,0.227901374512,1.10996741424138e-05,"","CAL0130575","YJL069C","UTP18","S000003605"
