Geneid	BG2_RPMI_DMSO_A	BG2_RPMI_VORI_A	BG2_RPMI_FLUC_A	BG2_RPMI_DMSO_B	BG2_RPMI_VORI_B	BG2_RPMI_FLUC_B	BG2_RPMI_DMSO_C	BG2_RPMI_VORI_C	BG2_RPMI_FLUC_C
GWK60_I05225	9.147042519773068	5.164694746166586	6.241485704927775	13.669289483844802	11.332107492276986	6.279754151113736	11.717684488455696	7.23385647377709	8.698780124592233
GWK60_I05247	107.28012831832612	91.9860620618207	80.58627112691558	124.12343324410796	92.40427352160498	81.3751475415155	132.32613697320326	74.99097877815582	61.286859968718005
GWK60_I05269	23.446354360097324	24.238147765582752	28.363207190747737	25.09178770770132	30.918788106085998	34.53864783112555	23.11452761591796	34.963639623255936	29.55608246878497
GWK60_I05291	504.7953511567974	163.7839887849087	147.18845402886637	389.33907288468293	243.7511544829015	126.38005229116393	398.8197613392242	191.09437518227813	156.08379337194472
GWK60_I05313	23.474585972812672	32.40009941480045	31.3338383617007	22.483624426875757	33.33126208315302	24.334047335565728	24.788482542840203	39.062824958396284	28.66643450149713
GWK60_I05335	0.08469483814604693	0.012385359103516992	0.015801229632728543	0.12569461594340045	0.013040399876037959	0.08721880765435745	0.05579849756407474	0.1205642745629515	0.09884977414309355
GWK60_I05357	25.718999183682918	7.98855662176846	5.767448815945919	29.01974445593258	7.706876326738433	7.762473881237813	30.940266899279443	5.425392355332817	12.55392131617288
GWK60_I05379	156.36078702396028	177.06109374387893	200.88103232087798	171.290337876869	169.21222879146856	159.52319919981977	175.5141740877971	191.09437518227813	222.2142922736743
GWK60_I05401	16.501377632121475	12.050954407722035	12.166946817200978	16.371723726627913	13.379450272814946	10.29181930321418	16.153665044799638	10.971348985228586	11.367724026455758
GWK60_I05423	51.593272237300255	49.268958513790594	47.68811103157474	54.63002245440043	49.67088312782859	40.120651521004426	59.91363675942525	49.91360966906192	50.90763368369318
GWK60_I05467	18.42112729676521	43.323986144102435	39.86650236337411	23.033538371628136	37.06081644769988	38.02740013729985	24.369993811109644	38.460003585581525	35.882468013942955
