"","gene","baseMean","log2FC","stderror","padj","gene_id_cbs138"
"53","GWK60_D06105",27719.1281178512,2.98120821143951,0.126616902727125,1.8437172814316e-119,"CAGL0D05940g"
"54","GWK60_D06567",87.9104144239178,1.55133207432307,0.40526296343925,0.000389333658623824,"CAGL0D06380g"
"55","GWK60_D06589",7603.51136931305,2.3077851379477,0.110372665906636,2.8994471477352e-94,"CAGL0D06402g"
"56","GWK60_D06699",2029.83048259752,1.21828455745867,0.177731327410088,5.6780963021247e-11,"CAGL0D06512g"
"57","GWK60_E01419",5025.77075527868,1.0339352426567,0.0994944252186834,9.29539737216102e-24,"CAGL0E01639g"
"58","GWK60_E01551",6700.0845964682,1.71524639447356,0.187648474608352,1.25343125810824e-18,"CAGL0E01771g"
"59","GWK60_E01595",338.7159493941,1.50103509566478,0.252422255844745,1.64315012534542e-08,"CAGL0E01815g"
"60","GWK60_E01639",484.638567507786,1.14566879067887,0.220127986248863,9.27802937791452e-07,"CAGL0E01859g"
"61","GWK60_E01661",5708.36513401967,1.02628907609892,0.123485469234268,1.28334756861546e-15,"CAGL0E01881g"
"62","GWK60_E02805",8405.06906237049,1.2363845367579,0.161678882553128,2.20821177728092e-13,"CAGL0E03025g"
"63","GWK60_E03707",1781.47035151082,1.57968375910911,0.164633152260919,2.06627312623786e-20,"CAGL0E04004g"
"64","GWK60_E04015",14387.1797438042,1.14478810541784,0.126766802850723,3.23988126511329e-18,"CAGL0E04334g"
"65","GWK60_E04543",59.7292823106783,1.05044397434914,0.35856295407612,0.00768358555505733,"CAGL0E04840g"
"66","GWK60_E04895",1556.5712758375,1.07341241471546,0.160563863285127,1.7359019281408e-10,"CAGL0E05214g"
"67","GWK60_E05621",5044.03364617853,1.74147432130534,0.235070165624464,1.23980075268977e-12,"CAGL0E05984g"
"68","GWK60_E06017",5848.05187924296,1.12844944826646,0.119197091528043,6.6056630995506e-20,"CAGL0E06380g"
"69","GWK60_E06237",2874.58778086321,1.00362355052442,0.226762709927711,3.4985067668748e-05,"CAGL0E06644g"
"70","GWK60_F00517",177.729457526856,1.4796092732211,0.305338076290301,5.30545389306971e-06,"CAGL0F00649g"
"71","GWK60_F01177",6946.01527699132,1.01945366523681,0.121162328935177,5.59280253685107e-16,"CAGL0F01397g"
"72","GWK60_F01243",1700.43407159833,1.44563619612917,0.162489835641363,1.04960089406564e-17,"CAGL0F01485g"
"73","GWK60_F01551",50605.0394105446,2.13299889697974,0.144182949788339,3.11847701437241e-47,"CAGL0F01793g"
"74","GWK60_F01771",3670.52041168825,1.30028143861091,0.191031751177895,7.81697657649305e-11,"CAGL0F02013g"
"75","GWK60_F02145",7068.64709750156,1.06021456994745,0.142100728737462,8.56018346782523e-13,"CAGL0F02431g"
"76","GWK60_F02321",493.970220227613,1.21133435285151,0.239952497588697,2.04021807088425e-06,"CAGL0F02585g"
"77","GWK60_F02431",4943.65762315044,1.03772070674493,0.154222452605961,1.30586310119639e-10,"CAGL0F02717g"
"78","GWK60_F03333",7059.94651230425,3.28495981224363,0.140917955168345,3.57691314974271e-117,"CAGL0F03641g"
"79","GWK60_F04345",8488.28095701755,1.32486266711021,0.122753467722724,1.62242284108629e-25,"CAGL0F04741g"
"80","GWK60_F04411",16841.149088441,1.07691513106847,0.188087900282882,5.67871813920924e-08,"CAGL0F04807g"
"81","GWK60_F04433",12137.174179652,1.46995698151267,0.168151686981328,3.82251926237662e-17,"CAGL0F04829g"
"82","GWK60_F04455",4448.92544134811,1.23427884524454,0.1356802228372,1.84156411437948e-18,"CAGL0F04851g"
"83","GWK60_F04521",86.2223445099718,1.64413282826498,0.382614768795632,6.04633126683866e-05,"CAGL0F04917g"
"84","GWK60_F06457",15865.9564405899,1.8375107920758,0.216353392941228,2.93335399999721e-16,"CAGL0F06875g"
"85","GWK60_F06611",3101.90550510504,3.07260908424531,0.162489257221696,4.52267534026278e-77,"CAGL0F07029g"
"86","GWK60_F07315",11966.8639753422,1.03037851338407,0.18255006462642,8.92771849238701e-08,"CAGL0F07777g"
"87","GWK60_F07403",2861.19787259566,1.09937495328255,0.175744219703557,2.60806867131364e-09,"CAGL0F07865g"
"88","GWK60_F07491",371.987641065251,1.19432339459174,0.177265764877795,1.23143652493449e-10,"CAGL0F07953g"
"89","GWK60_F07513",1425.46478561733,1.71678295453172,0.134405375829754,2.63434042802629e-35,"CAGL0F07975g"
"90","GWK60_F07755",30.2547621863615,1.42234537377284,0.637553447061788,0.0473195376935575,"CAGL0F08217g"
"91","GWK60_F08283",158228.547840104,1.49719270067992,0.133083827676477,1.27598958685354e-27,"CAGL0F08745g"
"92","GWK60_G00451",6291.28520677436,1.22681007636525,0.124429290184759,1.72698985027076e-21,"CAGL0G00550g"
