"","gene","baseMean.x","log2FC.x","stderror.x","padj.x","gene_id_bg2","gene.y","baseMean.y","log2FC.y","stderror.y","padj.y"
"13","CAGL0B03663g",5102.43314469307,2.2892392795991,0.29715430779316,3.73335148695344e-13,"GWK60_B03509","GWK60_B03509",2422.97096149916,2.59837580171937,0.170233961043197,3.18211940922953e-50
"14","CAGL0B03839g",432.652831026158,1.28585128682957,0.280014792071857,3.00937990516089e-05,"GWK60_B03663","GWK60_B03663",474.069901757129,1.18034500255921,0.176037059105808,1.52457833050504e-10
"15","CAGL0C00319g",9571.2218987023,1.78268687609685,0.154302714077313,1.18708010644785e-28,"GWK60_C00143","GWK60_C00143",22070.6859327663,1.45335656034306,0.12637060109424,8.77538283024767e-29
"16","CAGL0C01375g",8088.35439275263,1.93859279050792,0.187805847335846,6.21351456933677e-23,"GWK60_C00957","GWK60_C00957",14342.446623231,1.53299517134524,0.17932693352205,1.85776860469976e-16
"17","CAGL0C03245g",2688.82329303059,1.19185789073782,0.218624688301661,5.00741373650372e-07,"GWK60_C02849","GWK60_C02849",3095.77667800293,1.0198592094674,0.16957137149374,1.09929511418692e-08
"18","CAGL0C03872g",1261.86756334425,1.26278993233122,0.292635999057351,9.59329095978456e-05,"GWK60_C03487","GWK60_C03487",19963.8246831044,3.38420399676157,0.172384633209505,4.33839097548417e-83
"19","CAGL0C04191g",2247.57819058774,1.20701940539967,0.214619961815309,2.01321106838096e-07,"GWK60_C03729","GWK60_C03729",13658.60737677,1.04187514309303,0.108234502178438,1.53907138736104e-20
"20","CAGL0C04323g",555.860659726859,1.429614108694,0.263339837202128,5.62461202874242e-07,"GWK60_C03861","GWK60_C03861",1166.05161215328,1.07448846954617,0.206694043966638,9.54460456873356e-07
"21","CAGL0C04763g",1791.73415532737,2.3584642061061,0.190477069896372,7.80885170166007e-33,"GWK60_C04257","GWK60_C04257",3874.5713412018,1.91830670844106,0.126051975947708,6.07753227825539e-50
"22","CAGL0C04873g",5329.17982650345,1.40225266191341,0.183744148692584,6.45072626121452e-13,"GWK60_C04367","GWK60_C04367",6434.57918444339,1.29698738840548,0.154004203623663,5.26025141982189e-16
"23","CAGL0C05027g",5750.43413658542,1.94038271111906,0.29576920365373,8.60666404792931e-10,"GWK60_C04543","GWK60_C04543",5490.99520250777,1.33083877722861,0.115773080324973,9.23575433425914e-29
"24","CAGL0C05533g",2172.3880944694,2.05583366773611,0.174175158754477,7.22989314628478e-30,"GWK60_C05049","GWK60_C05049",2586.53757434459,1.2791885280275,0.110896070712949,5.97257249025279e-29
"25","CAGL0D00946g",337.324823597306,1.63236145954641,0.244018156651419,3.79983977555448e-10,"GWK60_D01067","GWK60_D01067",314.816442062881,1.27264909410312,0.214026053463944,1.6431470237113e-08
"26","CAGL0D01100g",3846.81594634857,1.07735224481775,0.209807145659288,2.43946328975672e-06,"GWK60_D01199","GWK60_D01199",7108.31670260017,1.13880473704266,0.10988162752772,1.21392193791813e-23
"27","CAGL0D01474g",1250.45372495593,3.10625758576791,0.304339166835535,1.93261495844812e-22,"GWK60_D01595","GWK60_D01595",1557.83146847258,1.94201517650665,0.167104317647303,2.23444840752227e-29
"28","CAGL0D02662g",95.0943572197373,1.06821234947868,0.369322193629518,0.0118814297778341,"GWK60_D02827","GWK60_D02827",112.023367613286,1.31243183506139,0.304196819209038,5.64020287501803e-05
"29","CAGL0D05082g",29089.2456629071,1.26226871363727,0.315616998007747,0.000336088320513242,"GWK60_D05269","GWK60_D05269",108516.499459903,1.40127867912973,0.135174909556639,1.19036882944648e-23
"30","CAGL0D05918g",10409.45470071,1.22403460926483,0.217138495063698,1.87777025965072e-07,"GWK60_D06083","GWK60_D06083",27539.8275445635,1.71216044400697,0.12348432814371,1.67884667015998e-41
