"","gene","baseMean","log2FC","stderror","padj","gene_id_cbs138"
"24","GWK60_B00715",854.611404787163,-1.14650707782368,0.160140419227563,7.21359092647932e-12,"CAGL0B00880g"
"25","GWK60_B01199",3631.68539165855,-1.16243803144812,0.16649423962239,2.40495931277389e-11,"CAGL0B01397g"
"26","GWK60_B02189",820.437715897056,-1.25813811468417,0.211880731557509,1.72238791916253e-08,"CAGL0B02343g"
"27","GWK60_B02453",1600.97871513759,-1.07691798536987,0.124462027214045,8.00958568704047e-17,"CAGL0B02607g"
"28","GWK60_B02849",1842.17613934098,-1.11157188445316,0.157647425550853,1.51425767690479e-11,"CAGL0B02970g"
"29","GWK60_B03993",3775.1617884766,-1.80106523704458,0.160626627358452,1.86666219727161e-27,"CAGL0B04125g"
"30","GWK60_B04037",2490.00557876511,-1.58164823715539,0.19915695162434,2.4158879627135e-14,"CAGL0B04169g"
"31","GWK60_B04301",3546.47719166502,-1.75120434396985,0.180893054718294,9.32794410376846e-21,"CAGL0B04433g"
"32","GWK60_B04719",309.550470541083,-1.07617363677411,0.209124700197612,1.24616866956875e-06,"CAGL0B04873g"
"33","GWK60_C00561",1931.3007626322,-1.27969175672486,0.157991397628316,7.01299550813686e-15,"CAGL0C00737g"
"34","GWK60_C01001",51.2658661657257,-1.29096761411961,0.486179061907913,0.0166208354003012,"CAGL0C01419g"
"35","GWK60_C01221",68.5580291538759,-1.16171573229911,0.403356498460294,0.0088991861023819,"CAGL0C01617g"
"36","GWK60_C01243",2770.25958370638,-2.03658417303528,0.159188768280352,2.07799776475025e-35,"CAGL0C01639g"
"37","GWK60_C01353",3161.09781662398,-1.83916263302569,0.114861733293646,2.75879921990477e-55,"CAGL0C01749g"
"38","GWK60_C01397",8921.31104454887,-1.1145429298897,0.160013146121648,2.70070891695566e-11,"CAGL0C01793g"
"39","GWK60_C01815",1104.44587221578,-1.57498128055424,0.168822045065297,2.32549494968139e-19,"CAGL0C02211g"
"40","GWK60_C01881",947.465712049415,-1.11694224274676,0.169228578274733,2.98903672115897e-10,"CAGL0C02277g"
"41","GWK60_C01903",180.703110536398,-2.06230194330365,0.349176013597381,2.05657789705885e-08,"CAGL0C02299g"
"42","GWK60_C01947",8942.26478768894,-1.37846324671275,0.118874853569602,2.97648028436227e-29,"CAGL0C02343g"
"43","GWK60_C02123",2305.84941322173,-1.66263906095269,0.153279949956633,9.13334564916714e-26,"CAGL0C02519g"
"44","GWK60_C02981",10640.1583520046,-1.31041000379306,0.157783452205286,1.34520922574807e-15,"CAGL0C03369g"
"45","GWK60_C03135",2619.82496381164,-1.04287117954817,0.118680691301542,2.6226660592171e-17,"CAGL0C03531g"
"46","GWK60_C03355",4241.51623933576,-1.16776563501141,0.161749341345681,4.7133571635355e-12,"CAGL0C03740g"
"47","GWK60_C03905",89380.7423858238,-1.43994373902305,0.121491679062245,1.6374853966235e-30,"CAGL0C04389g"
"48","GWK60_C04081",252.426485723525,-1.0563332231782,0.228274167210128,1.44795271418467e-05,"CAGL0C04565g"
"49","GWK60_C04697",2135.26734472508,-1.08865330860011,0.151324863302356,5.63304411250131e-12,"CAGL0C05181g"
"50","GWK60_D00121",5755.71905292413,-1.70351201273423,0.158797330570751,3.18868426057011e-25,"CAGL0L00341g"
"51","GWK60_D00209",6465.49393565209,-1.10635409132391,0.105869484381978,5.31625682181126e-24,"CAGL0L00429g"
"52","GWK60_D00649",10397.4178305179,-1.39881679465171,0.143774306564383,5.89138303385232e-21,"CAGL0D00550g"
"53","GWK60_D00715",113997.555093949,-1.06280504590764,0.119701495004539,1.2156637006476e-17,"CAGL0D00616g"
"54","GWK60_D00935",4714.82431578566,-1.52356056753332,0.171213254015235,1.03851118500217e-17,"CAGL0D00836g"
"55","GWK60_D00979",54513.9185843663,-1.27795009075748,0.120423862574936,1.02257274139332e-24,"CAGL0D00858g"
"56","GWK60_D01001",4115.92948990905,-1.60841147585578,0.158886513749312,1.33673550738438e-22,"CAGL0D00880g"
"57","GWK60_D01683",3493.67323454663,-1.13681274440968,0.124819299130718,1.68150515622463e-18,"CAGL0D01562g"
"58","GWK60_D01837",2794.15119207702,-1.14444637139539,0.131415409912793,5.0156202153195e-17,"CAGL0D01716g"
"59","GWK60_D02871",2233.89405237092,-1.36185105247537,0.143181645624443,4.39749813630385e-20,"CAGL0D02706g"
"60","GWK60_D03003",1758.65121188264,-1.6118765269393,0.156340665890748,2.07669787226179e-23,"CAGL0D02838g"
"61","GWK60_D03289",3820.47333071411,-1.55710119038155,0.197813016477327,4.07306599583169e-14,"CAGL0D03124g"
"62","GWK60_D03487",752.520457602619,-1.33418382186519,0.226165295453598,2.13909561279821e-08,"CAGL0D03322g"
"63","GWK60_D03839",5449.06071527375,-1.1826232545898,0.185842350598317,1.33803432206784e-09,"CAGL0D03674g"
"64","GWK60_D04345",2906.75755817938,-1.30254485713489,0.176868712301247,1.69864348123832e-12,"CAGL0D04180g"
"65","GWK60_D04367",17.4495142700608,-2.67516133495706,0.746981582998397,0.000957776252963309,"CAGL0D04202g"
"66","GWK60_D04565",28.1579747979929,-1.95534265736117,0.582316427104438,0.00203720464821504,"CAGL0D04394g"
"67","GWK60_D04785",330.269795144512,-1.57395224718509,0.229940126755386,6.04422732576685e-11,"CAGL0D04620g"
"68","GWK60_D04807",375.286336865303,-1.01482078287382,0.199187643439057,1.60992084039416e-06,"CAGL0D04642g"
"69","GWK60_D05071",3369.83046101777,-1.90954923485711,0.169838431936107,1.36184370158664e-27,"CAGL0D04884g"
