"","gene","baseMean.x","log2FC.x","stderror.x","padj.x","gene_id_bg2","gene.y","baseMean.y","log2FC.y","stderror.y","padj.y"
"56","CAGL0E05456g",1496.35990855116,-1.91228826695954,0.376856077358534,3.25544444023899e-06,"GWK60_E05115","GWK60_E05115",3613.0718296157,-1.44800493409474,0.246458728268315,2.44189734156182e-08
"57","CAGL0E05478g",1735.9209079457,-1.66607885166343,0.20620010405988,2.20717344684194e-14,"GWK60_E05137","GWK60_E05137",2716.58703374564,-1.97933922174465,0.156056580876174,7.64419179168629e-35
"58","CAGL0E05500g",2628.21479392375,-1.49677334079957,0.283084875619363,1.15463867782925e-06,"GWK60_E05159","GWK60_E05159",4919.59436114803,-1.94530814700535,0.165247756758033,4.18518003960546e-30
"59","CAGL0E05522g",594.29296797979,-2.04890321742269,0.206081380090621,2.57595388665666e-21,"GWK60_E05181","GWK60_E05181",1920.31869981749,-1.56888018517964,0.180614261929931,6.00855814757345e-17
"60","CAGL0E05764g",824.008845605984,-1.22138794763812,0.190254312152072,2.07043605590937e-09,"GWK60_E05423","GWK60_E05423",1390.28657707197,-1.08412570671727,0.148210143778538,2.41371684201673e-12
"61","CAGL0E05874g",2790.20100744365,-1.3659640848669,0.169566756531747,2.65693584616776e-14,"GWK60_E05511","GWK60_E05511",5980.7997788734,-1.28325610244271,0.162157751994556,2.98057645777671e-14
"62","CAGL0E06534g",1697.10354110761,-1.34754655393012,0.17236218804661,1.59781701325197e-13,"GWK60_E06171","GWK60_E06171",2272.43093216701,-1.1902295369169,0.140135109295056,2.93285580237289e-16
"63","CAGL0F00407g",4818.89258720016,-1.91182275345759,0.180808308671191,4.59132476091603e-24,"GWK60_F00275","GWK60_F00275",8382.23333172733,-1.91446143612753,0.144562559929011,6.63529290124129e-38
"64","CAGL0F00561g",1102.58162912899,-1.55349066502254,0.220731847666373,3.97114198035218e-11,"GWK60_F00429","GWK60_F00429",1329.30195357521,-1.48080024626349,0.178976659085953,1.73830657137171e-15
"65","CAGL0F01023g",1328.87706339332,-1.3904995838455,0.187390962685544,2.83942099072637e-12,"GWK60_F00847","GWK60_F00847",2101.81557236125,-1.9540433108179,0.171853694481977,3.53297800582782e-28
"66","CAGL0F01177g",1648.08181879884,-1.17489406800075,0.193006751043164,1.5165347596853e-08,"GWK60_F00979","GWK60_F00979",2370.90806305893,-1.26673310592589,0.152151718067495,1.14794879608353e-15
"67","CAGL0F01463g",110626.874956068,-2.67772118687162,0.21378249156757,1.35626223607712e-33,"GWK60_F01221","GWK60_F01221",169393.645081425,-1.66929362503515,0.218213179160242,2.16732721086317e-13
"68","CAGL0F01925g",709.311659964902,-1.14097505058567,0.207072638259989,3.67297397603039e-07,"GWK60_F01683","GWK60_F01683",1788.67604129261,-1.15446093682199,0.194773393898528,1.82445668041031e-08
"69","CAGL0F02541g",4178.02079219126,-1.11906492273056,0.176663364461459,3.48652160900555e-09,"GWK60_F02277","GWK60_F02277",5569.68682356188,-1.05377310051204,0.151435582961705,2.829126937754e-11
"70","CAGL0F02563g",4682.4441295305,-1.50502455407485,0.227493237769922,6.05013818031597e-10,"GWK60_F02299","GWK60_F02299",5982.49151253749,-1.4802582551039,0.150917814612959,2.79575411524948e-21
"71","CAGL0F03927g",9857.74194092908,-1.74865939608166,0.27415041777571,2.6570327131295e-09,"GWK60_F03619","GWK60_F03619",18008.0094137397,-1.68998988200566,0.17303823553321,4.18366946813165e-21
"72","CAGL0F04103g",5397.19767263688,-1.21545483889845,0.23423847910442,1.88364754957677e-06,"GWK60_F03773","GWK60_F03773",8912.51594564409,-1.25145723986499,0.149712675937354,8.8474132986737e-16
"73","CAGL0F04433g",3933.58706536984,-1.39510149656316,0.199388122293737,5.26056681138495e-11,"GWK60_F04059","GWK60_F04059",5590.03536410705,-1.05906826677018,0.149221600337085,1.10253050463733e-11
