"","gene","baseMean","log2FC","stderror","padj","gene_id_bg2"
"92","CAGL0F00407g",4818.89258720016,-1.91182275345758,0.180808308671191,4.5913247609163e-24,"GWK60_F00275"
"93","CAGL0F00561g",1102.58162912899,-1.55349066502255,0.220731847666375,3.97114198035392e-11,"GWK60_F00429"
"94","CAGL0F01023g",1328.87706339332,-1.3904995838455,0.187390962685543,2.8394209907253e-12,"GWK60_F00847"
"95","CAGL0F01177g",1648.08181879884,-1.17489406800075,0.193006751043165,1.5165347596857e-08,"GWK60_F00979"
"96","CAGL0F01287g",6052.04434768959,-1.24712793754507,0.176599101373866,3.38950239523807e-11,"GWK60_F01089"
"97","CAGL0F01463g",110626.874956068,-2.67772118687162,0.21378249156757,1.35626223607737e-33,"GWK60_F01221"
"98","CAGL0F01925g",709.311659964902,-1.14097505058567,0.20707263825999,3.6729739760313e-07,"GWK60_F01683"
"99","CAGL0F02541g",4178.02079219126,-1.11906492273056,0.176663364461459,3.48652160900525e-09,"GWK60_F02277"
"100","CAGL0F02563g",4682.4441295305,-1.50502455407485,0.227493237769921,6.05013818031484e-10,"GWK60_F02299"
"101","CAGL0F02849g",5078.09268751106,-1.14692271801586,0.162649947302374,3.61710494212826e-11,"GWK60_F02563"
"102","CAGL0F03927g",9857.74194092908,-1.74865939608165,0.274150417775711,2.65703271312997e-09,"GWK60_F03619"
"103","CAGL0F04103g",5397.19767263688,-1.21545483889844,0.23423847910442,1.88364754957686e-06,"GWK60_F03773"
"104","CAGL0F04433g",3933.58706536984,-1.39510149656316,0.199388122293733,5.26056681138065e-11,"GWK60_F04059"
"105","CAGL0F04499g",6958.52371795766,-1.46066902819958,0.226919597955742,1.87190431328959e-09,"GWK60_F04125"
"106","CAGL0F04939g",527.683685106858,-1.15093693623301,0.194786679865099,4.19978472255772e-08,"GWK60_F04543"
"107","CAGL0F04983g",1697.65244329588,-1.54059768006854,0.227398360010931,2.23395845543051e-10,"GWK60_F04587"
"108","CAGL0F05115g",7189.46448401345,-1.13475446440051,0.230278174197399,6.54713588250974e-06,"GWK60_F04719"
"109","CAGL0F05621g",313.251476006967,-1.19786200889341,0.224381312204742,9.02170150039508e-07,"GWK60_F05225"
"110","CAGL0F05709g",147.582949959402,-2.11587091987008,0.341665814912676,8.26431398975111e-09,"GWK60_F05313"
"111","CAGL0F05885g",1252.34801876136,-1.51013629390726,0.183788149971975,7.81308163496482e-15,"GWK60_F05489"
"112","CAGL0F06501g",1060.88014603498,-1.06706490771007,0.2651067200676,0.000307296413290739,"GWK60_F06061"
"113","CAGL0F06523g",744.10622793725,-1.03383844389246,0.183342552143562,1.86314883118104e-07,"GWK60_F06083"
"114","CAGL0F06809g",1376.52266370113,-1.48723086306576,0.226810477132438,8.74375371353752e-10,"GWK60_F06391"
"115","CAGL0F06853g",1521.08101339094,-1.00071184546015,0.174429845029359,1.09115789440057e-07,"GWK60_F06435"
"116","CAGL0F06875g",6516.61532711774,-1.03576607695621,0.247680171531055,0.000164471169908174,"GWK60_F06457"
"117","CAGL0F07139g",2909.42981541493,-1.22143138999048,0.171299025049643,2.15935911993549e-11,"GWK60_F06721"
"118","CAGL0F07579g",14269.8763452053,-1.41503295687129,0.591307558110698,0.0410754008884079,"GWK60_F07117"
"119","CAGL0F07601g",38811.694823508,-1.51332607492659,0.286408677612352,1.1751712017527e-06,"GWK60_F07139"
"120","CAGL0F07623g",1141.79996269139,-1.26720685077583,0.197133705375405,1.96524905682793e-09,"GWK60_F07161"
"121","CAGL0F07645g",677.512218778959,-1.56193077131712,0.222217960475715,4.22130626515017e-11,"GWK60_F07183"
"122","CAGL0F08129g",3157.28972029345,-1.71352765145481,0.215998421025218,6.68980897119082e-14,"GWK60_F07667"
"123","CAGL0F09075g",3607.23999872784,-1.02018357969706,0.225838879109379,4.14175606432116e-05,"GWK60_F08569"
"124","CAGL0G00154g",20267.6386605226,-1.03575264864423,0.201338165996293,2.33722043173184e-06,"GWK60_G00055"
"125","CAGL0G00264g",2460.06143415756,-2.08869295796864,0.191331106527591,1.2011937263992e-25,"GWK60_G00143"
"126","CAGL0G00484g",943.91637356625,-1.8342911457433,0.253845930181621,1.11164753983637e-11,"GWK60_G00385"
"127","CAGL0G00924g",2381.51123332621,-1.05410683886641,0.15618477264132,2.62222369833788e-10,"GWK60_G00781"
"128","CAGL0G01078g",61299.8819888939,-1.03222799046893,0.266222178962822,0.000526599136555508,"GWK60_G00935"
"129","CAGL0G01826g",53726.9501304433,-1.01827140066279,0.275228552216844,0.000997635012415162,"GWK60_G01683"
"130","CAGL0G01991g",3630.68237454967,-1.23610127736497,0.217341824806464,1.43207149895722e-07,"GWK60_G01859"
"131","CAGL0G02409g",1294.63222670938,-1.58872329194098,0.289232007036065,4.01475614863141e-07,"GWK60_G02277"
"132","CAGL0G02453g",42.1474542488081,-1.6247400523631,0.558897780243353,0.0114370855997826,"GWK60_G02299"
"133","CAGL0G02629g",792.617252429482,-1.4940506968576,0.243612600233894,1.1770737878945e-08,"GWK60_G02497"
"134","CAGL0G02761g",1629.70393763106,-1.1438037258273,0.171392163496018,4.20695472382793e-10,"GWK60_G02629"
